"Project ID","Project Name","Address","Street Number","Street Name","Map-Lot","Status","Year Complete","Latitude","Longitude","Coordinates"
"627","Jefferson Park State","1-6 Jefferson Park","1-6","Jefferson Park","268A-47","Complete","2018","42.3931","-71.1362","42 3930969   "
"706","MXD Infill - Proto Kendall Square","88 Ames Street","88","Ames Street","44-107","Complete","2018","42.3631","-71.0878","42 3631357717   "
"624","MIT Nano Building","5 Ames Street","5","Ames Street","52A-21","Complete","2018","42.361","-71.0928","42 3609935327   "
"644","Harvard Smith Campus Center","1336-1362 Massachusetts Avenue","1336-1362","Massachusetts Avenue","160-14","Complete","2018","42.373","-71.1185","42 3729711139   "
"605","Luxe at Alewife","80-84 Cambridgepark Drive","80-84","Cambridgepark Drive","265D-57","Complete","2018","42.3933","-71.1439","42 3933390102998   "
"295","Avalon Bay North Point - Ava North Point incl. 5 Glassworks Ave.","2 Leighton Street","2","Leighton Street","1A-87","Complete","2018","42.3704","-71.0745","42 3703935998   "
"627","Jefferson Park State","1-6 Jefferson Park","1-6","Jefferson Park"," 268A-32","Complete","2018","42.3931","-71.1362","42 3930969   "
"395","The Ivy Residence","262 Msgr. O'Brien Highway","262","Msgr. O'Brien Highway","22-128","Complete","2018","42.3734","-71.0819","42 3734405177998   "
"650","Mass & Main - 47 Bishop Allen Drive","47 Bishop Allen Drive","47","Bishop Allen Drive","30-35","Complete","2019","42.3647","-71.0999","42 3647459999998   "
"656","First Street PUD - Parcel A","121 First Street","121","First Street","10-39","Complete","2019","42.3668","-71.078","42 366802   "
"408","Ten Essex","6-10 Essex Street","6-10","Essex Street","90-178","Complete","2019","42.3655","-71.1025","42 3654694824   "
"698","Russell Apartments/North Cambridge Senior Center","2050 Massachusetts Avenue","2050","Massachusetts Avenue","200-90","Complete","2019","42.3909","-71.1229","42 390942   "
"671","Cambridge Crossing (North Point) - Building J/K","222 Jacobs Street","222","Jacobs Street","1A-190","Complete","2019","42.372","-71.0754","42 3720309393998   "
"656","First Street PUD - Parcel A","121 First Street","121","First Street"," 10-31","Complete","2019","42.3668","-71.078","42 366802   "
"670","MXD Infill - Akamai Building","145 Broadway","145","Broadway","43-78","Complete","2019","42.3648","-71.0888","42 3648343377   "
"381","Discovery Park - 400 Discovery Park","30 Acorn Park Drive","30","Acorn Park Drive","267.2-269","Complete","2019","42.3982","-71.1478","42 3981808077   "
"646","253 Walden Street","253 Walden Street","253","Walden Street","272-17","Complete","2019","42.3862","-71.1314","42 3862359999998   "
"404","Porter Loft","1868 Massachusetts Avenue","1868","Massachusetts Avenue","177-34","Complete","2019","42.3879","-71.1197","42 3878939399998   "
"667","St. Patricks Apartment Replacment","50 York Street","50","York Street","40-243","Complete","2019","42.3695","-71.092","42 3694856515   "
"686","MIT Kendall Square - NoMa Phase 4 Podium","165 Main Street","165","Main Street","14-59","Complete","2019","42.3625","-71.0828","42 3625129949   "
"656","First Street PUD - Parcel A","121 First Street","121","First Street"," 10-38","Complete","2019","42.3668","-71.078","42 366802   "
"651","Mass & Main - Phase 1/Market Central","425 Massachusetts Avenue","425","Massachusetts Avenue","91-207","Complete","2019","42.3637","-71.1003","42 3637459999999   "
"384","Discovery Park - Discovery Park Garage B","40 Acorn Park Drive","40","Acorn Park Drive","267.2-270","Complete","2019","42.3989","-71.1478","42 3989313956998   "
"716","Star Market Office Conversion","20 Sidney Street","20","Sidney Street","69-62","Complete","2019","42.3621","-71.1003","42 362101   "
"632","1699 Massachusetts Avenue","1699 Massachusetts Avenue","1699","Massachusetts Avenue","155-32","Complete","2019","42.3831","-71.1192","42 383105   "
"689","First Street PUD - Parcel D","85 First Street","85","First Street","18-65","Complete","2019","42.3682","-71.0777","42 3682069999998   "
"652","King Open School Complex","850 Cambridge Street","850","Cambridge Street","38-1","Complete","2019","42.372","-71.0911","42 372   "
"669","EF Building 3 including Student Housing","10 Education Circle","10","Education Circle","1A-196","Complete","2019","42.3709","-71.0707","42 3708953245999   "
"660","Tempo at Alewife Station Phase 1","201-203 Concord Turnpike","201-203","Concord Turnpike","267.1-281","Complete","2019","42.3996","-71.1491","42 399565   "
"700","Mass & Main - Link Cambridge","5 Columbia Street","5","Columbia Street","91-206","Complete","2019","42.3641","-71.0997","42 3640979999998   "
"637","35 Cambridgepark Drive","35 Cambridgepark Drive","35","Cambridgepark Drive","265D-53","Complete","2020","42.395","-71.1435","42 394959   "
"731","Tempo at Alewife Station Phases 3/4","201-203 Concord Turnpike","201-203","Concord Turnpike","267.1-281","Complete","2020","42.3996","-71.1491","42 399565   "
"633","907 Main Street","907 Main Street","907","Main Street","91-70","Complete","2020","42.3637","-71.0996","42 363657   "
"666","Finch Building","671-675 Concord Avenue","671-675","Concord Avenue","267E-293","Complete","2020","42.3903","-71.1502","42 3903269999999   "
"382","Discovery Park - 500 Discovery Park","20 Acorn Park Drive","20","Acorn Park Drive","267.2-269","Complete","2020","42.3983","-71.1471","42 3983003999   "
"655","MIT Kendall Square - SoMa Garage","25 Hayward Street","25","Hayward Street","48-159","Complete","2020","42.3623","-71.0859","42 362282088   "
"634","1 Kendall Square Addition","399 Binney Street","399","Binney Street","39-173","Complete","2020","42.3678","-71.0905","42 367769   "
"727","Mass & Main - Phase 2/Market Central","425 Massachusetts Avenue","425","Massachusetts Avenue","91-207","Complete","2020","42.3637","-71.1003","42 3637459999999   "
"681","MIT Kendall Square - Building 5","314 Main Street","314","Main Street","48-157","Complete","2020","42.3622","-71.0866","42 362222   "
"710","212 Hampshire Street","212 Hampshire Street","212","Hampshire Street","110-17","Complete","2020","42.3731","-71.1004","42 373133   "
"674","Cambridge Crossing (North Point) - Building W","100/110 North First Street","100/110","North First Street","1A-189","Complete","2020","42.372","-71.0755","42 3720009999999   "
"695","Squirrelwood Phase 1","265 Broadway","265","Broadway","76-116","Complete","2020","42.3681","-71.0966","42 3681229999999   "
"675","MIT Kendall Square - Building 4/45 Hayward St.","290-292 Main Street","290-292","Main Street","48-159","Complete","2020","42.3622","-71.0854","42 3622354995998   "
"635","Basement Housing","18-26 Chauncy Street","18-26","Chauncy Street","172-61","Complete","2020","42.3792","-71.1229","42 3791859999998   "
"648","300 Putnam Avenue","300 Putnam Avenue","300","Putnam Avenue","127-126","Complete","2020","42.362","-71.1133","42 361989   "
"726","Tempo at Alewife Station Phase 2","201-203 Concord Turnpike","201-203","Concord Turnpike","267.1-281","Complete","2020","42.3996","-71.1491","42 399565   "
"621","Lofts at Kendall Square","249 Third Street","249","Third Street","27-97","Complete","2020","42.3668","-71.0822","42 366835   "
"692","MIT Undergraduate Dormitory","189 Vassar Street","189","Vassar Street","55-27","Complete","2021","42.3591","-71.0976","42 359082   "
"679","MIT Kendall Square - 18 Hayward St/Building 3","238 Main Street","238","Main Street","47-92","Complete","2021","42.3621","-71.0847","42 362093   "
"617","Inman Crossing","305 Webster Avenue","305","Webster Avenue","81-20","Complete","2021","42.3735","-71.0944","42 3735365447   "
"407","75-77 New Street","75-77 New Street","75-77","New Street","264-106","Complete","2021","42.3891","-71.1402","42 3890557930998   "
"684","MIT Kendall Square - NoMa Existing Building Phases 1-3","1 Broadway","1","Broadway","14-58","Complete","2021","42.3625","-71.0828","42 3625129949   "
"740","Squirrelwood Phase 2","40-54 Market Street","40-54","Market Street","76-116","Complete","2021","42.3681","-71.0966","42 3681229999999   "
"371","Alexandria PUD - 50 Rogers Street","50 Rogers Street","50","Rogers Street","16-29","Complete","2021","42.3658","-71.0782","42 3658059999999   "
"697","Frost Terrace","1785-1791 Massachusetts Avenue","1785-1791","Massachusetts Avenue","153-88","Complete","2021","42.3862","-71.1188","42 3861879999999   "
"725","MIT Kendall Square - NoMA Phase 5","4 Broad Canal Way","4","Broad Canal Way","14-58","Complete","2021","42.3631","-71.0829","42 363066   "
"343","St. James at Porter Square","1991-2013 Massachusetts Avenue","1991-2013","Massachusetts Avenue","181-207","Complete","2021","42.3908","-71.1214","42 3908306590998   "
"712","Cambridge Crossing (North Point) - Building H","450 Water Street","450","Water Street","1A-200","Complete","2021","42.3722","-71.0714","42 372221   "
"673","Cambridge Crossing (North Point) - Building Q1","181 Morgan Avenue","181","Morgan Avenue","1A-192","Complete","2021","42.3721","-71.0765","42 372098   "
"679","MIT Kendall Square - 18 Hayward St/Building 3","238 Main Street","238","Main Street"," 47-84","Complete","2021","42.3621","-71.0847","42 362093   "
"707","Cambridge Crossing (North Point) - Building G","350 Water Street","350","Water Street","1A-201","Complete","2022","42.3727","-71.0724","42 3727179999999   "
"688","First Street PUD - Parcel C/85-121 First Street","20-22 Hurley Street","20-22","Hurley Street","10-33","Complete","2022","42.3679","-71.0786","42 367901   "
