wikipedia_page_id,wikipedia_title,wikipedia_url,latitude,longitude,match_method,match_distance_meters,candidate_count,candidate_bldgids,matched_bldgid,confidence_status,decision_status,review_reason,previous_title,previous_latitude,previous_longitude
21464432,Koch Institute for Integrative Cancer Research,https://en.wikipedia.org/wiki/Koch_Institute_for_Integrative_Cancer_Research,42.36222222222222,-71.0886111111111,nearest,9.65,1,668-76,668-76,ambiguous,rejected,Preserved human rejected decision.,,42.36222222222222,-71.0886111111111
21709445,Rappaport Institute for Greater Boston,https://en.wikipedia.org/wiki/Rappaport_Institute_for_Greater_Boston,42.371,-71.122,contained,0.00,1,398-1,398-1,strong,rejected,Preserved human rejected decision.,,42.371,-71.122
21733950,Xmortis,https://en.wikipedia.org/wiki/Xmortis,42.3638,-71.1015,nearest,0.66,1,644-4,644-4,ambiguous,rejected,Preserved human rejected decision.,,42.3638,-71.1015
22371972,Owl Club (Harvard),https://en.wikipedia.org/wiki/Owl_Club_(Harvard),42.3715,-71.1187,contained,0.00,1,424-1,424-1,strong,approved,Preserved human approved decision.,,42.3715,-71.1187
22711896,"Urban Rowhouse (30–38 Pearl Street, Cambridge, Massachusetts)","https://en.wikipedia.org/wiki/Urban_Rowhouse_(30%E2%80%9338_Pearl_Street,_Cambridge,_Massachusetts)",42.36394444444445,-71.10316666666667,contained,0.00,1,640-1,640-1,strong,approved,Preserved human approved decision.,,42.36394444444445,-71.10316666666667
22711934,"Urban Rowhouse (26–32 River Street, Cambridge, Massachusetts)","https://en.wikipedia.org/wiki/Urban_Rowhouse_(26%E2%80%9332_River_Street,_Cambridge,_Massachusetts)",42.364666666666665,-71.10586111111111,contained,0.00,1,627-2,627-2,strong,approved,Preserved human approved decision.,,42.364666666666665,-71.10586111111111
22790984,Nameless Coffeehouse,https://en.wikipedia.org/wiki/Nameless_Coffeehouse,42.37453611111111,-71.11928055555555,contained,0.00,1,319-19,319-19,strong,rejected,Preserved human rejected decision.,,42.37453611111111,-71.11928055555555
22794033,Shady Hill School,https://en.wikipedia.org/wiki/Shady_Hill_School,42.371,-71.138,nearest,18.36,1,387-32,387-32,ambiguous,rejected,Preserved human rejected decision.,,42.371,-71.138
22856069,Harvard–Yenching Library,https://en.wikipedia.org/wiki/Harvard%E2%80%93Yenching_Library,42.37745833333334,-71.11425555555554,nearest,2.29,1,241-48,241-49,ambiguous,approved,Preserved human approved decision.,,42.37745833333334,-71.11425555555554
23784296,MIT Radiation Laboratory,https://en.wikipedia.org/wiki/MIT_Radiation_Laboratory,42.3608,-71.0917,contained,0.00,1,668-24,668-24,strong,rejected,Preserved human rejected decision.,,42.3608,-71.0917
23809874,Cambridge Police Department (Massachusetts),https://en.wikipedia.org/wiki/Cambridge_Police_Department_(Massachusetts),42.3675,-71.0858,nearest,6.46,1,554-3,554-3,ambiguous,rejected,Preserved human rejected decision.,,42.3675,-71.0858
24259132,Abdul Latif Jameel Poverty Action Lab,https://en.wikipedia.org/wiki/Abdul_Latif_Jameel_Poverty_Action_Lab,42.362500000000004,-71.08777777777777,nearest,7.74,1,672-7,672-7,ambiguous,rejected,Preserved human rejected decision.,,42.362500000000004,-71.08777777777777
24402716,Harvard Cyclotron Laboratory,https://en.wikipedia.org/wiki/Harvard_Cyclotron_Laboratory,42.38,-71.116,contained,0.00,1,241-9,241-9,strong,approved,Preserved human approved decision.,,42.38,-71.116
24445086,"St. Hedwig Parish, Cambridge","https://en.wikipedia.org/wiki/St._Hedwig_Parish,_Cambridge",42.370694444444446,-71.08258333333333,nearest,4.39,1,442-20,442-20,ambiguous,rejected,Preserved human rejected decision.,,42.370694444444446,-71.08258333333333
25009206,Hult International Business School,https://en.wikipedia.org/wiki/Hult_International_Business_School,42.36944444444445,-71.0736111111111,nearest,24.20,1,999-4320,999-4320,ambiguous,rejected,Preserved human rejected decision.,,42.36944444444445,-71.0736111111111
