wikipedia_page_id,wikipedia_title,wikipedia_url,latitude,longitude,match_method,match_distance_meters,candidate_count,candidate_bldgids,matched_bldgid,confidence_status,decision_status,review_reason,previous_title,previous_latitude,previous_longitude
1852841,Meigs Elevated Railway,https://en.wikipedia.org/wiki/Meigs_Elevated_Railway,42.37294444444444,-71.07997222222222,contained,0.00,1,358-1,358-1,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
1865654,Great Bridge (Cambridge),https://en.wikipedia.org/wiki/Great_Bridge_(Cambridge),42.369,-71.123,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
1907855,Winthrop House,https://en.wikipedia.org/wiki/Winthrop_House,42.3702,-71.1192,nearest,3.10,1,437-10,437-10,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
1907859,Cabot House,https://en.wikipedia.org/wiki/Cabot_House,42.3814,-71.1242,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
1947549,Charles River Dam Bridge,https://en.wikipedia.org/wiki/Charles_River_Dam_Bridge,42.368,-71.0708,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
1983910,"Cambridgeport, Cambridge, Massachusetts","https://en.wikipedia.org/wiki/Cambridgeport,_Cambridge,_Massachusetts",42.36,-71.1075,nearest,4.28,1,700-28,700-28,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
2182062,Tasty Sandwich Shop,https://en.wikipedia.org/wiki/Tasty_Sandwich_Shop,42.37339,-71.11938,nearest,4.69,1,357-4,357-4,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
2208221,Longfellow House–Washington's Headquarters National Historic Site,https://en.wikipedia.org/wiki/Longfellow_House%E2%80%93Washington%27s_Headquarters_National_Historic_Site,42.376666666666665,-71.12638888888888,nearest,17.76,1,288-1,288-1,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
2373670,Grolier Poetry Bookshop,https://en.wikipedia.org/wiki/Grolier_Poetry_Bookshop,42.37232,-71.11656,nearest,5.65,1,401-2,401-2,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
2374643,Café Pamplona,https://en.wikipedia.org/wiki/Caf%C3%A9_Pamplona,42.3717,-71.1155,contained,0.00,1,407-4,407-4,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
2401057,Kresge Auditorium,https://en.wikipedia.org/wiki/Kresge_Auditorium,42.35812,-71.09507,contained,0.00,1,708-13,708-13,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
2621447,"Elmwood (Cambridge, Massachusetts)","https://en.wikipedia.org/wiki/Elmwood_(Cambridge,_Massachusetts)",42.37547222222222,-71.1383888888889,contained,0.00,1,306-16,306-16,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
2657253,Manray,https://en.wikipedia.org/wiki/Manray,42.3633,-71.1022,contained,0.00,1,640-23,640-23,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
